ID,Name,Age,City
1,Alice,25.0,New York
2,Bob,30.0,Los Angeles
3,Charlie,35.0,Chicago
4,N/A,N/A,N/A
5,Eve,22.0,Miami
6,Bob,30.0,Houston
7,Frank,40.0,Seattle
8,Grace,29.0,Denver
9,Hannah,31.0,Austin
10,Eve,22.0,Miami
11,Ivan,36.0,Dallas
12,Jack,33.0,Phoenix
13,Charlie,35.0,Chicago
14,Kate,27.0,Portland
15,Leo,41.0,San Diego
16,Mia,23.0,San Jose
17,Nina,26.0,Orlando
18,Oscar,39.0,Atlanta
19,Paul,34.0,Detroit
20,Mia,23.0,San Jose
21,Grace,29.0,Denver
22,Alice,25.0,New York
23,Eve,22.0,Miami
24,Hannah,31.0,Austin
